trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3419,False,"{'a': 0.01, 'e': 0.032777925277406125}",20,11,18.35046902871934,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3420,False,"{'a': 0.01, 'e': 0.03274516373562974}",20,14,8.530306186679791,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3421,False,"{'a': 0.01, 'e': 0.03271243493901982}",20,10,16.000687880648744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3422,False,"{'a': 0.01, 'e': 0.03267973885484755}",20,0,9.384389113959104,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3423,False,"{'a': 0.01, 'e': 0.03264707545041687}",30,10,35.56467781845495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3424,False,"{'a': 0.01, 'e': 0.03261444469306436}",20,9,13.355353415606388,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
3425,False,"{'a': 0.01, 'e': 0.03258184655015926}",25,16,17.869020051852498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3426,False,"{'a': 0.01, 'e': 0.03254928098910342}",30,14,28.48244700981491,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3427,False,"{'a': 0.01, 'e': 0.03251674797733129}",20,11,16.81604747122862,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3428,False,"{'a': 0.01, 'e': 0.032484247482309846}",20,12,14.845512711700913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3429,False,"{'a': 0.01, 'e': 0.03245177947153859}",20,11,5.669686268346483,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3430,False,"{'a': 0.01, 'e': 0.0324193439125495}",20,11,14.474789739221396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3431,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,7,24.90906721825429,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3432,False,"{'a': 0.01, 'e': 0.03235457002020804}",20,15,11.707465877385676,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3433,False,"{'a': 0.01, 'e': 0.03232223162208177}",30,20,17.2207546361406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3434,False,"{'a': 0.01, 'e': 0.0322899255461898}",30,22,18.82561225566282,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3435,False,"{'a': 0.01, 'e': 0.032257651760226075}",20,9,6.145068261085179,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
